L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.7286324567,0.7629386177,0.7711956669,0.7631295719,0.1371654184,0.1031080842,0.1043070369,0.1027281400,0.8097536582,0.6247428613,0.6135495182,0.6873616917,0.5943374550,0.6260861622,0.6163783563,0.6040080633,0.0511047862,0.0751330570,0.1356542500,0.0451714674,0.6948069959,0.2007174817,0.1448738184,0.4000134464
0.7238651551,0.7587187298,0.7668690416,0.7588893551,0.1418941143,0.1020957169,0.1032735333,0.1015794820,0.8091774835,0.6241099043,0.6136544139,0.6882222769,0.6031452910,0.6262574361,0.6178810647,0.6118247518,0.0514258759,0.0726164852,0.1323959648,0.0445240766,0.7133292241,0.2232767627,0.1657917605,0.4315620509
0.7187737181,0.7542069973,0.7622514719,0.7543603090,0.1470204975,0.1012272178,0.1023294877,0.1005328125,0.8085252104,0.6234625620,0.6136843840,0.6890692020,0.6127275358,0.6263716188,0.6193255286,0.6202526216,0.0517747140,0.0700249515,0.1290594025,0.0438584494,0.7325872563,0.2472355272,0.1879865927,0.4649427268
0.7133855374,0.7494302326,0.7573721565,0.7495667561,0.1525331072,0.1005702897,0.1015338372,0.0996499426,0.8078185811,0.6228008344,0.6136394288,0.6898751468,0.6230586593,0.6264287101,0.6207117479,0.6292380605,0.0521473365,0.0674120003,0.1256934864,0.0431745858,0.7523345404,0.2724360870,0.2113253055,0.4998445261
0.7077337113,0.7444152485,0.7522592513,0.7445370725,0.1584009994,0.1001915776,0.1009497288,0.0989957742,0.8070575957,0.6221534921,0.6135345331,0.6906537715,0.6340705818,0.6264743831,0.6220164250,0.6387167335,0.0525437435,0.0648097579,0.1223471395,0.0424816041,0.7723052623,0.2986911872,0.2356216858,0.5359144809
0.7018559035,0.7391960763,0.7469461263,0.7393057152,0.1645874998,0.1001534948,0.1006392567,0.0986352089,0.8062639967,0.6215205351,0.6133696972,0.6914050761,0.6456952233,0.6265314744,0.6232745064,0.6485814158,0.0529639349,0.0622717683,0.1190595004,0.0417795042,0.7922413129,0.3257840065,0.2607161225,0.5727744115
0.6957886363,0.7338015910,0.7414640658,0.7339030871,0.1710433273,0.1005152812,0.1006687253,0.0986310881,0.8054703977,0.6209163490,0.6131748910,0.6921427205,0.6578134441,0.6266799119,0.6245325878,0.6587141601,0.0534118748,0.0598301582,0.1158599231,0.0410591679,0.8118999923,0.3535371454,0.2864578715,0.6100293299
0.6895661493,0.7282627303,0.7358443541,0.7283616183,0.1777123243,0.1013319454,0.1011033861,0.0990452231,0.8047094123,0.6203697044,0.6130250401,0.6928940251,0.6702975942,0.6269767867,0.6258722115,0.6689970192,0.0538796350,0.0575170538,0.1127679768,0.0403114771,0.8310617151,0.3817337827,0.3126961888,0.6472842484
0.6832203995,0.7226073380,0.7301120188,0.7227086716,0.1845360411,0.1026521487,0.1020105960,0.0999383948,0.8040027830,0.6198806013,0.6129201445,0.6936726498,0.6830200240,0.6275476998,0.6273865688,0.6792906007,0.0543711796,0.0553431640,0.1098032309,0.0395455499,0.8495338624,0.4102162301,0.3392714633,0.6841441790
0.6767810614,0.7168601641,0.7242920874,0.7169685693,0.1914548820,0.1045203209,0.1034545543,0.1013672636,0.8033831235,0.6194778105,0.6129051594,0.6944922547,0.6958275536,0.6284611608,0.6291455530,0.6894662349,0.0548904728,0.0533299065,0.1069656853,0.0387431500,0.8671546344,0.4387578105,0.3660329509,0.7202309418
